City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
135,Kruisfontein,ZA,-34.0033,24.7314,59.88,92,1,3.36,clear sky
136,Saint-Philippe,RE,-21.3585,55.7679,72.99,81,77,3.87,broken clouds
137,Naze,JP,28.3667,129.4833,67.42,77,3,6.31,clear sky
138,Warrington,GB,53.3925,-2.5802,50.49,81,20,8.05,few clouds
139,Kabanjahe,ID,3.1001,98.4908,63.61,98,100,1.3,heavy intensity rain
140,Carutapera,BR,-1.195,-46.02,81.55,85,37,5.77,scattered clouds
141,Port Elizabeth,ZA,-33.918,25.5701,62.1,94,0,11.5,clear sky
142,Araouane,ML,18.9048,-3.5265,91.29,18,98,8.46,overcast clouds
143,Panorama,GR,40.5878,23.0315,55.53,68,20,1.01,few clouds
144,Salalah,OM,17.0151,54.0924,80.26,70,2,9.84,clear sky
145,Itanhaem,BR,-24.1831,-46.7889,84.25,86,89,11.39,overcast clouds
146,Urusha,RU,54.05,122.9,20.57,57,14,2.26,few clouds
147,Balakhninskiy,RU,58.0106,114.2769,21.9,82,100,3.38,overcast clouds
148,Lasa,IT,46.6166,10.7002,50.88,76,100,3.74,overcast clouds
149,Saldanha,ZA,-33.0117,17.9442,66.25,86,72,17.47,broken clouds
150,Norman Wells,CA,65.282,-126.8329,15.84,92,90,3.44,fog
151,Hilo,US,19.7297,-155.09,82.27,68,1,5.75,clear sky
152,Havre,FR,49.5833,0.3333,55.17,76,0,11.5,clear sky
153,Khatanga,RU,71.9667,102.5,-2.61,99,93,2.95,overcast clouds
154,Fortuna,US,40.5982,-124.1573,60.48,95,75,1.99,broken clouds
155,Taoudenni,ML,22.6783,-3.9836,90.23,21,80,4.52,broken clouds
156,Toora-Khem,RU,52.4675,96.11,28.87,78,97,0.65,overcast clouds
157,Sao Filipe,CV,14.8961,-24.4956,80.62,73,94,10.11,overcast clouds
158,Cayeli,TR,41.0923,40.7292,57.72,74,7,3.85,clear sky
159,Laguna,US,38.421,-121.4238,69.64,85,74,4.0,broken clouds
160,Hithadhoo,MV,-0.6,73.0833,83.28,74,66,17.18,broken clouds
161,Ipswich,GB,52.0592,1.1555,54.01,75,82,8.95,broken clouds
162,Brightwater,NZ,-41.3833,173.1167,59.86,86,60,7.34,broken clouds
163,Huarmey,PE,-10.0681,-78.1522,68.58,74,78,8.72,broken clouds
164,Tuktoyaktuk,CA,69.4541,-133.0374,17.6,100,90,6.91,light snow
165,Turi,IT,40.9173,17.0212,63.28,77,3,6.91,clear sky
166,Pinawa,CA,50.1489,-95.8811,41.5,82,100,11.88,overcast clouds
167,Roald,NO,62.5833,6.1333,51.91,66,0,8.05,clear sky
168,Chokurdakh,RU,70.6333,147.9167,-2.76,98,100,5.79,overcast clouds
169,Vestmannaeyjar,IS,63.4427,-20.2734,45.59,76,0,2.3,clear sky
170,Kavaratti,IN,10.5669,72.642,82.02,72,92,1.95,overcast clouds
