City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
481,Eyl,SO,79.23,clear sky,7.9803,49.8164,Amiin Hotel
490,Bandarban,BD,72.66,broken clouds,22.1965,92.2262,"Hilltop, Hafazgona, Bandarban"
495,Taungdwingyi,MM,73.67,scattered clouds,20.0167,95.55,NayNaing MobileService
497,Antalaha,MG,73.02,light rain,-14.9003,50.2788,Hotel Vitasoa
500,Mampong,GH,76.77,overcast clouds,7.0627,-1.4001,Adom Upscale Hotel
506,General Cepeda,MX,72.81,clear sky,25.3833,-101.45,Hacienda Los Jose
514,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
516,Payo,ID,73.36,overcast clouds,-3.7508,103.6372,Mess keban agung
524,Mizdah,LY,70.21,overcast clouds,31.4451,12.9801,محمدالمبروك الاريقط
527,Jamay,MX,73.13,scattered clouds,20.3,-102.7167,Hotel Casino Meson Real
529,Dingle,PH,75.42,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
532,Ahero,KE,71.58,light rain,-0.1746,34.9163,Jesmic Hotel
537,Tshikapa,CD,76.12,broken clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
543,Calvinia,ZA,73.45,few clouds,-31.4707,19.776,Die Lemoenhuis
544,Kudat,MY,78.73,few clouds,6.8837,116.8477,Dream Garden Hotel
545,Najran,SA,74.05,clear sky,17.4924,44.1277,محمد هادي ال فطيح
546,Rincon De La Victoria,ES,72.09,overcast clouds,36.7172,-4.2758,Hotel Elimar
549,Brandon,US,75.11,broken clouds,27.9378,-82.2859,Brandon Motor Lodge
550,Santa Isabel,BR,79.9,overcast clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
551,Jiazi,CN,70.65,broken clouds,22.8779,116.067,Hotel Jin Hao
552,Yelbarga,IN,75.38,light rain,15.6333,76.0167,Lic premium point
553,Pangkalanbuun,ID,75.09,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
554,Quatre Cocos,MU,73.51,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
562,Bitung,ID,76.05,overcast clouds,1.4451,125.1824,K2 Lembeh
563,Banda Aceh,ID,78.78,overcast clouds,5.5577,95.3222,Sulthan Hotel International
569,Buraydah,SA,79.25,clear sky,26.326,43.975,فندق راحة السلام
570,Mayumba,GA,77.61,light rain,-3.432,10.6554,LIKWALE LODGE
578,Mersing,MY,76.91,broken clouds,2.4312,103.8405,Timotel Hotel
581,Salvador,SV,79.63,overcast clouds,13.8333,-88.9167,Chico's Ranch
585,Uga,NG,77.59,light rain,5.9358,7.0793,Hotel De Sunroute Akokwa
598,Masumbwe,TZ,74.68,broken clouds,-3.6333,32.1833,Ngabanya Logde & Filling Station
601,Kalmunai,LK,79.0,broken clouds,7.4167,81.8167,VS Villa
602,Qeshm,IR,78.69,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
620,Colares,PT,70.32,mist,38.7992,-9.4469,Arribas Sintra Hotel
623,Avon Park,US,74.79,scattered clouds,27.5959,-81.5062,Econo Lodge Sebring
624,Lukulu,ZM,79.84,broken clouds,-14.3707,23.242,Ruth Guest House
627,Kaputa,ZM,76.08,scattered clouds,-8.4689,29.6619,Chelelwa Charlets
628,Tautira,PF,78.82,light rain,-17.7333,-149.15,Pension Oaoa
630,Karratha,AU,72.61,clear sky,-20.7377,116.8463,ibis Styles Karratha
631,Luwuk,ID,77.13,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
634,Hervey Bay,AU,75.31,broken clouds,-25.2986,152.8535,Shelly Bay Resort
636,Mutare,ZW,71.42,few clouds,-18.9707,32.6709,Ann Bruce Backpackers
638,Woodward,US,70.47,clear sky,36.4337,-99.3904,"Holiday Inn Express & Suites Woodward Hwy 270, an IHG Hotel"
643,Demba,CD,70.07,overcast clouds,-5.51,22.2667,Guest House Du Cinquantenaire
644,Det Udom,TH,76.82,broken clouds,14.906,105.0784,Chatsuda Resort
652,Jacobabad,PK,77.68,clear sky,28.281,68.4388,Sardar Hotel
653,Nouadhibou,MR,71.58,clear sky,20.931,-17.0347,El Medina
659,Mariara,VE,79.41,light rain,10.2964,-67.7181,El Carmen
680,Galle,LK,77.68,overcast clouds,6.0367,80.217,Amangalla
689,Yenagoa,NG,77.94,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
692,Harper,LR,77.97,moderate rain,4.375,-7.7169,Screensaver
697,Waddan,LY,73.24,scattered clouds,29.1614,16.139,محل الشريف محمد العايب
703,Doume,CM,71.64,broken clouds,4.2333,13.45,Hotel Universel
704,Inongo,CD,75.29,few clouds,-1.95,18.2667,Hotel Du Lac
707,Zhenhai,CN,71.08,light rain,24.2582,118.0905,In Zhijian Guesthouse
710,Bertoua,CM,70.57,overcast clouds,4.5833,13.6833,Hotel De Paris
711,Matehuala,MX,71.58,clear sky,23.65,-100.65,Las Palmas Midway Inn
713,Alyangula,AU,75.07,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
721,Dicabisagan,PH,77.02,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
